codigo,ean,stock,precio,promo,descripcion
12,7891010568757,4,6612.0,No Promo,JOHNSON BABY EXTRA CUIDADO TOALLITAS HUMEDAS 48 UNIDADES
12,7891010599294,1,4024.0,No Promo,SIEMPRE LIBRE ADAPT PLUS NOCHE Y DIA SUAVE C N ALAS TOALLA FEMENINA 8
12,7891010606497,3,4027.0,No Promo,SIEMPRE LIBRE ADAPT PLUS ULTRA FINA SUAVE CO ALAS TOALLA FEMENINA 8
12,7891010619435,2,10442.0,No Promo,LISTERINE CUIDADO TOTAL ENJUAGUE BUCAL X 500 L
12,7891010882990,2,24538.0,30%,NEUTROGENA HYDRO BOOST OJOS gel x50ml
12,7891010959647,1,4024.0,No Promo,SIEMPRE LIBRE ADAPT PLUS NOCHE Y DIA SUAVE C N ALAS TOALLA FEMENINA 8
12,7891024005064,99,8868.0,No Promo,COLGATE LUMINOUS WHITE BRILLIANT CREMA DENTA 140GR
12,7891024020180,4,7202.0,25%,ELMEX ANTICARIES CEPILLO DENTAL 1 UNIDAD
12,7891024027363,1,1540.0,No Promo,COLGATE PLAX HIELO INFINITO ENJUAGUE BUCAL 6 ML
12,7891024028018,5,6063.0,No Promo,COLGATE TOTAL12 CLEAN MINT ENJUEGUE BUCAL 25 ML
12,7891024028834,5,6063.0,No Promo,COLGATE TOTAL12 CLEAN MINT ENJUEGUE BUCAL 25 ML
12,7891024030813,8,6503.0,No Promo,COLGATE PRO ALIVIO ENJUEGUE BUCAL 250ML
12,7891024034897,18,1200.0,2x1,PALMOLIVE NUTRI MILK JABON 1 UNIDAD
12,7891024068007,4,6505.0,No Promo,COLGATE ORTHOGARD CEPILLO DENTAL 1 UNIDAD
12,7891024073001,1,4081.0,No Promo,COLGATE BATMAN Y MUJER MARAVILLA +6A PACKS 2 1 CEPILLO DENTAL 2U
12,7891024073070,4,5208.0,No Promo,COLGATE SLIMSOFT CARBON ACTIVADO SUAVE CEPIL O DENTAL 1 UNIDAD
12,7891024134429,4,4436.0,No Promo,COLGATE SENSITIVE WHITENING CREMA DENTAL 100 R
12,7891024179437,16,8702.0,No Promo,COLGATE LUMINOUS WHITE PLAX  ENJUAGUE BUCAL 00ML
12,7891024183021,2,2601.0,No Promo,COLGATE MENTA HILO DENTAL 50ML
12,7891024183120,10,3025.0,No Promo,COLGATE PACK 2X1 HILO DENTAL 50M
12,7891150017337,6,6667.0,No Promo,DOVE OLEO NUTRICION ACONDICIONADOR 400ML
12,7891150017368,5,6667.0,No Promo,DOVE OLEO NUTRICION SHAMPOO 400ML
12,7891150017375,1,3824.0,No Promo,DOVE OLEO NUTRICION ACONDICIONADOR 200ML
12,7891150017849,24,4811.0,25%,DOVE ORIGINAL BLANCO JABON LIQUIDO 250ML
12,7891150019560,6,1855.0,No Promo,DOVE DELICIOUS KERATINE Y VAINILLA JABON 90G 1 UNIDAD
12,7891150025967,4,5546.0,25%,DOVE BABY SENSIBLE JABON LIQUIDO 200ML
12,7891150025981,8,5546.0,25%,DOVE BABY ENRIQUECIDO JABON LIQUIDO 200ML
12,7891150025998,19,1806.0,25%,DOVE BABY SENSIBLE JABON 75GR 1 UNIDAD
12,7891150026025,9,1806.0,25%,DOVE BABY ENRIQUECIDO HIDRATANTE JABON 75GR UNIDAD
12,7891150029309,9,5067.0,No Promo,DOVE NUTRICION LECHE DE COCO JABON LIQUIDO 2 0ML
12,7891150035874,8,3887.0,25%,DOVE BABY ENRIQUECIDO JABON LIQUIDO RESPUEST 200ML
12,7891150035881,8,3887.0,25%,DOVE BABY SENSIBLE JABON LIQUIDO RESPUESTO 2 0ML
12,7891150040182,4,5388.0,No Promo,SEDAL RIZOS DEFINIDOS CREMA PARA PEINAR  X 3 0ML
12,7891150050488,3,6667.0,No Promo,DOVE HIDRATACION INTENSA SHAMPOO 400ML
12,7891150053120,1,6667.0,No Promo,DOVE RITUAL REPARACION ACONDICIONADOR 400ML
12,7891150053151,1,3786.0,No Promo,DOVE RITUAL REPARACION ACONDICIONADOR 200ML
12,7891150055223,10,6667.0,No Promo,DOVE NUTRICION OLEO MICELAR SHAMPOO 400ML
12,7891150058095,3,5822.0,No Promo,SEDAL MASCARA CAPILAR HIDRATAX300G
12,7891150060869,1,4740.0,No Promo,DOVE SUPER FACTOR NUTRIC ACONDICIONADOR 50 170ML
12,7891150061330,2,7390.0,30%,TRESEMME BRILLO LAMELAR SHAMPOO 500ML ATOMIZ DOR
12,7891150064300,7,6057.0,40%,REXONA CLINICAL WOM EXTRA DRY DESODORANTE 15 ML
12,7891150066069,1,5837.0,No Promo,DOVE 1MINUTO FACTOR NUTRICION 80 masc.x300g
12,7891150068735,5,6057.0,40%,REXONA CLINICAL MEN  SPORT DESODORANTE 96HS 50ML
12,7891150075382,2,1855.0,No Promo,DOVE JAB CUIDA PROTEGE 48X90G
12,7891150079168,1,5102.0,No Promo,DOVE PODER DE LAS PLANTAS MASC NUTRICION+GER NIO X 190GR
12,7891150079175,1,5102.0,No Promo,DOVE PODER DE LAS PLANTAS MASC FUERZA+BAMBU 190GR
12,7891150081062,2,7010.0,70%,DOVE REAL PODER FUERZA+BAMBU SHAMPOO 300ML
12,7891150081093,2,7010.0,70%,DOVE REAL PODER FUERZA+BAMBU ACONDICIONADOR 00ML
12,7891150082656,3,6667.0,No Promo,DOVE HIDRATACION INTENSA SHAMPOO 400ML
12,7891150082663,10,6667.0,No Promo,DOVE NUTRICION OLEO MICELAR SHAMPOO 400ML
12,7891150087453,4,12525.0,No Promo,TRESEMME HYDRA OIL SPRAY 120ML
12,7891150087477,2,3009.0,No Promo,TRESEMME TECTURIZADOR DEFINE GEL 200GR
12,7891150087675,2,6975.0,40%,TRESEMME HIDRATACION PRO ACTIVA MASCARA TRAT MIENTO 300GR
12,7891150088887,38,6556.0,2do50%,LUX BROMELIA GLICERINA JABON LIQUIDO 300ML
12,7891150088894,40,6556.0,2do50%,LUX MANZANILLA GLICERINA JABON LIQUIDO 300ML
12,7891150089952,12,6057.0,40%,REXONA CLINICAL WOM REFRESH DESODORANTE 96H 50ML
12,7891150089983,12,6057.0,40%,REXONA CLINICAL MEN ANTI TRANSPIRANTE INTENS FRESH DESODORANTE 150ML
12,7891150094390,3,9786.0,30%,TRESEMME BRILLO LAMELAR SERUM DE TRATAMIENTO 170ML
12,7891150094482,1,9602.0,30%,TRESEMME FINISHER OLEO 60ML
12,7891150095618,4,1855.0,No Promo,DOVE PIEL SENSIBLE JABON 90GR 1 UNIDAD
12,7891150097124,1,14616.0,30%,DOVE BOND INTENSE REPAIR OLEO TRATAMIENTO CA ILAR 110ML
12,7891150097131,6,12411.0,No Promo,DOVE BOND INTENSE REPAIR MASCARA TRATAMIENTO CAPILAR 250GR
12,7891150097148,3,7271.0,30%,DOVE BOND INTENSE REPAIR ACONDICIONADOR 250M
12,7891150099906,6,8352.0,30%,SEDAL LUMINOUS UV SERUM 110ML
12,7891182996310,1,3050.0,No Promo,RISQUE ESM.OSCUROS env.x8ml550(TURMALINA)
12,7898422746759,176,1855.0,No Promo,DOVE ORIGINAL BLANCO JABON 90GR 1 UNIDAD
12,7898422746827,20,1855.0,No Promo,DOVE EXFOLIACION DIARIA JABON 90GR 1 UNIDAD
12,7899026483002,2,16049.0,40%,ELVIVE OLEO EXTRAORDINARIO CAPILAR 100ML
12,7899706158213,1,104727.0,No Promo,LRP HYALU B5 SERUM fco.x30ml
12,8000587006503,1,7675.0,No Promo,PELLIZA GARLOPIN rep.x1u 1484
12,8002990292092,5,8415.0,25%,VEET CREMA DEPILATORIA PN x100ml
12,8002990292139,8,8415.0,25%,VEET SILKY FRESH CREMA DEPILATORIA 100ML
12,8007403112592,1,75199.0,No Promo,BELLISSIMA PLANCHA CERAMIC LONG PLATES x1u 11259(3262)
12,8410104882143,2,7188.0,25%,VEET EASY-GEL CERA DEPILATORIA BANDAS AXILAS Y BIKINI 16 UNIDADES
12,8411061020692,1,44770.0,No Promo,ANTONIO BANDERAS BLUE SEDUCTION MEN ESTUCHE DT 100ML
12,8411061067543,1,53790.0,No Promo,ANTONIO BANDERAS COFRE THE ICON MEN EDT 100M
12,8411061074459,1,53790.0,No Promo,ANTONIO BANDERAS COFRE THE ICON MEN EDT 100M
12,8411061091586,1,44770.0,No Promo,ANTONIO BANDERAS BLUE SEDUCTION MEN ESTUCHE DT 100ML
12,8411061092033,1,53790.0,No Promo,ANTONIO BANDERAS COFRE THE ICON MEN EDT 100M
12,8411061913024,1,39900.0,No Promo,ANTONIO BANDERAS POWER OF SEDUCTION MEN EDT 00ML
12,8413600516017,8,8415.0,25%,VEET SILKY FRESH CREMA DEPILATORIA 100ML
12,8429420139237,1,67359.0,No Promo,ISDIN FOTOPROTECTOR ULTRA AGE REPARE WATER f uido x50ml
12,8429420154186,1,55630.0,No Promo,ISDIN FOTOPROTECTOR FUSION WATER 50+ COLOR f uido x50ml
12,8429420160613,1,67359.0,No Promo,ISDIN FOTO ULTRA AGE REPAIR COLOR 50+ X50 ML
12,8429420161214,1,62015.0,No Promo,ISDIN FOTOPROTECTOR FPS50+ CREMA EN GEL 250M
12,8429420188020,2,87321.0,No Promo,ISDIN FOTOPROTECTOR 50+ PEDIATRICS WET SKIN nv.x200ml(TS)
