SKU,EAN,IMAGEN
P38105,7798140256991,open-farma.s3.amazonaws.com/products/55432/large/open-uri20240705-7-1jplgm6.?1720207156
P32520,3337875774086,open-farma.s3.amazonaws.com/products/43445/large/open-uri20221117-6-dzurft.?1668696567
P11371,41554434866,open-farma.s3.amazonaws.com/products/14449/large/41554434866_01.jpg?1572715495
P9875,73796732028,open-farma.s3.amazonaws.com/products/4584/large/73796732028.png?1547493596
P8867,7798214891578,open-farma.s3.amazonaws.com/products/5156/large/7798214891578.jpg?1548079736
P3608,7509552791389,open-farma.s3.amazonaws.com/products/55579/large/open-uri20240715-7-1qumire.?1721070009
P7824,3337871328801,open-farma.s3.amazonaws.com/products/19841/large/3337871328801_02.jpg?1589378583
P35052,31655531908,open-farma.s3.amazonaws.com/products/43704/large/open-uri20221202-7-5x6x03.?1670007452
P15481,7798182770370,open-farma.s3.amazonaws.com/products/34979/large/open-uri20211019-7623-4yz9ww.?1634646701
P13505,75067946,open-farma.s3.amazonaws.com/products/20185/large/open-uri20200519-24845-19srtg5.?1589911110
P14646,9789874521057,open-farma.s3.amazonaws.com/products/20610/large/open-uri20200602-25816-1ot5a7b.?1591116575
P38279,7500435241090,open-farma.s3.amazonaws.com/products/55477/large/open-uri20240715-7-18f1otf.?1721051119
M11713,617395134496,open-farma.s3.amazonaws.com/products/56804/large/open-uri20241015-7-nlshzv.?1728999604
P3508,3600522892595,open-farma.s3.amazonaws.com/products/13848/large/3600522892595.jpg?1570034768
P37704,8429420276246,open-farma.s3.amazonaws.com/products/52840/large/open-uri20240112-7-14duguw.?1705085274
P8475,8429420126251,open-farma.s3.amazonaws.com/products/15852/large/8429420126251.jpg?1578269817
P8750,7798125431160,open-farma.s3.amazonaws.com/products/6626/large/7798125431160.jpg?1549294765
P34387,7891150081093,open-farma.s3.amazonaws.com/products/42945/large/open-uri20221025-7-1z0w8mw.?1666704472
P34390,7891150081048,open-farma.s3.amazonaws.com/products/42954/large/open-uri20221025-7-12cfgn7.?1666704586
P34986,7798422001981,open-farma.s3.amazonaws.com/products/43584/large/open-uri20221129-7-121npgh.?1669732030
P30549,7798178623963,open-farma.s3.amazonaws.com/products/40924/large/open-uri20220715-7-esf6xj.?1657893782
M7135,7793742004520,open-farma.s3.amazonaws.com/products/56887/large/7793742004520.jpg?1729090394
P30777,3616302880218,open-farma.s3.amazonaws.com/products/46892/large/open-uri20230428-7-2rb2bm.?1682691096
